Термин;Определение
Параметр негерметичности защищаемого помещения;— Величина, численно характеризующая негерметичность защищаемого помещения и равная отношению суммарной площади всех постоянно открытых проемов к объему защищаемого помещения. п. 3.17 ГОСТ Р 53284-2009 [42]
Параметр негерметичности помещения;— Величина, численно характеризующая негерметичность защищаемого помещения и определяемая как отношение суммарной площади постоянно открытых проемов к объему защищаемого помещения. п. 3.62 СП 5.13130.2009[7]
Параметры гидравлических потерь;— Потери напора в распределительном устройстве, измеренные в условиях опыта, коэффициент гидравлического сопротивления распределительного устройства или его эквивалентная длина. п. 3.5 ГОСТ Р 53283-2009 [41]
Параметры гидравлических потерь модуля (батареи) ;— Эквивалентная длина модуля (батареи) или коэффициент гидравлического сопротивления. п. 3.8 ГОСТ Р 53281-2009 [39]
Пассажирские вагоны;— Вагоны, предназначенные для перевозки пассажиров и (или) багажа, почтовых отправлений, такие, как почтовые, багажные, вагоны-рестораны, служебно-технические, служебные, клубы, санитарные, испытательные и измерительные лаборатории, специальные вагоны пассажирского типа. п. 3.5 ГОСТ Р 55183-2012 [83]
Пассивная система (элемент) тушения пожара;— Система (элемент) тушения пожара, функционирование которых связано только с вызвавшим их работу событием (пожар) и не зависит от работы другой активной системы (элемента), например, управляющей системы, энергоисточника и т.п. п. 2.31 СП 13.13130.2009[15]
Пассивная тепловая защита;— Защита, обеспечиваемая применением пакета материалов с низкой теплопроводностью или высокой теплоемкостью без обеспечения теплосъема хладоносителями с принудительной циркуляцией. п. 3.13 ГОСТ Р 53264-2009 [85]
Пена;— Дисперсная система, состоящая из ячеек - пузырьков воздуха (газа), разделенных пленками жидкости, содержащая стабилизатор. п. 3.26 СП 9.13130.2009[11]
Пена;— Дисперсная система, состоящая из ячеек - пузырьков воздуха (газа), разделенных пленками жидкости, содержащей стабилизатор пены. п. 3.2 ГОСТ Р 53280.1-2010 [53]
Пена;— Дисперсная система, состоящая из ячеек - пузырьков воздуха (газа), разделенных пленками жидкости, содержащей стабилизатор пены. п. 3.2 ГОСТ Р 53280.2-2010 [54]
Пена;— Дисперсная система, состоящая из ячеек - пузырьков воздуха (газа), разделенных пленками жидкости, содержащей пенообразователь. п. 3.5 ГОСТ Р 50588-2012 [58]
Пенообразователи общего назначения;— Пенообразователи, используемые для получения пены различной кратности и растворов смачивателей при тушении горючих жидкостей, твердых горючих материалов, волокнистых и тлеющих веществ, для защиты строительных конструкций, технологических аппаратов и хранящихся материалов от воздействия тепловых потоков. По химическому составу пенообразователи общего назначения классифицируются как синтетические углеводородные типа S. п. 3.17 ГОСТ Р 50588-2012 [58]
Пенообразователи типа AFFF;— Синтетические фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения горючих жидкостей. п. 3.7 ГОСТ Р 50588-2012 [58]
Пенообразователи типа AFFF/AR;— Синтетические фторсодержащие пленкообразующие спиртоустойчивые пенообразователи целевого назначения для тушения водорастворимых и водонерастворимых горючих жидкостей. п. 3.10 ГОСТ Р 50588-2012 [58]
Пенообразователи типа AFFF/AR-LV;— Синтетические фторсодержащие пленкообразующие спиртоустойчивые пенообразователи целевого назначения низкой вязкости для тушения водорастворимых и водонерастворимых горючих жидкостей. п. 3.11 ГОСТ Р 50588-2012 [58]
Пенообразователи типа FFFF/AR;— Протеиновые фторсодержащие пленкообразующие спиртоустойчивые пенообразователи целевого назначения для тушения водорастворимых и водонерастворимых горючих жидкостей. п. 3.12 ГОСТ Р 50588-2012 [58]
Пенообразователи типа FFFP;— Протеиновые фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения горючих жидкостей. п. 3.17 ГОСТ Р 53280.2-2010 [54]
Пенообразователи типа FFFP;— Протеиновые фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения горючих жидкостей. п. 3.8 ГОСТ Р 50588-2012 [58]
Пенообразователи типа FP;— Протеиновые фторсодержащие пенообразователи целевого назначения для тушения горючих жидкостей. п. 3.9 ГОСТ Р 50588-2012 [58]
Пенообразователи типа FP/AR;— Протеиновые фторсодержащие спиртоустойчивые пенообразователи целевого назначения для тушения водорастворимых и водонерастворимых горючих жидкостей. п. 3.13 ГОСТ Р 50588-2012 [58]
Пенообразователи типа S;— Синтетические пенообразователи, не содержащие фторированные поверхностно-активные вещества для тушения пожаров. п. 3.15 ГОСТ Р 50588-2012 [58]
Пенообразователи типа S/AR;— Синтетические пенообразователи целевого назначения для тушения водорастворимых горючих жидкостей. п. 3.18 ГОСТ Р 53280.1-2010 [53]
Пенообразователи типа S/AR;— Синтетические спиртоустойчивые пенообразователи целевого назначения без содержания фторированного поверхностно-активного вещества для тушения водорастворимых и водонерастворимых горючих жидкостей. п. 3.14 ГОСТ Р 50588-2012 [58]
Пенообразователи типа WA;— Синтетические пенообразователи, не содержащие фторированные поверхностно-активные вещества, используемые для тушения пожаров в качестве смачивателя. п. 3.16 ГОСТ Р 50588-2012 [58]
Пенообразователи целевого назначения;"— Пенообразователи, используемые в основном при тушении нефти, нефтепродуктов, водонерастворимых и водорастворимых горючих жидкостей. По химическому составу пенообразователи целевого назначения подразделяют на: синтетические углеводородные типов S, S/AR; синтетические фторсодержащие типов AFFF, AFFF/AR, AFFF/AR-LV; фтор-протеиновые типов FP, FFFP, FP/AR и FFFP/AR. п. 3.18 ГОСТ Р 50588-2012 [58]"
Пенообразователь (пенный концентрат) для тушения пожаров;— Концентрированный водный раствор стабилизатора пены (поверхностно-активного вещества), образующий при смешении с водой рабочий раствор пенообразователя. п. 3.15 ГОСТ Р 53280.1-2010 [53]
Пенообразователь (пенный концентрат) для тушения пожаров;— Концентрированный водный раствор стабилизатора пены (поверхностно-активного вещества), образующий при смешении с водой рабочий раствор пенообразователя. п. 3.15 ГОСТ Р 53280.2-2010 [54]
Пенообразователь (пенный концентрат) для тушения пожаров;— Концентрированный водный раствор стабилизатора пены (поверхностно-активного вещества), образующий при смешении с водой рабочий раствор пенообразователя или смачивателя. п. 3.6 ГОСТ Р 50588-2012 [58]
Пенообразователь для тушения пожаров нефти и нефтепродуктов в резервуарах подслойным способом;— Пенный концентрат с фторированными стабилизаторами для получения пленкообразующей пены, предназначенной для тушения резервуаров подслойным способом. п. 3.18 ГОСТ Р 53280.2-2010 [54]
Пенообразователь типа AFFF;Синтетические фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения горючих жидкостей. п. 3.16 ГОСТ Р 53280.2-2010 [54]
Пенообразователь типа AFFF/AR;— Синтетические фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения водорастворимых горючих жидкостей. п. 3.16 ГОСТ Р 53280.1-2010 [53]
Пенообразователь типа FFFP/AR;— Протеиновые фторсодержащие пленкообразующие пенообразователи целевого назначения для тушения водорастворимых горючих жидкостей. п. 3.17 ГОСТ Р 53280.1-2010 [53]
Первичные средства пожаротушения;— Средства пожаротушения, используемые для борьбы с пожаром в начальной стадии его развития. ст. 2 п. 19 ФЗ-123[1]
Передатчик ИПДЛ;— Компонент ИПДЛ, генерирующий оптическое излучение. п. 3.43 ГОСТ Р 53325-2012 [50]
Передвижной заправщик СПГ;— Криогенный резервуар, установленный вместе с обвязкой на автомобильном шасси или полуприцепе, на железнодорожном ходу или на судне водного транспорта и предназначенный для приема, хранения, перевозки и отгрузки СПГ потребителю. п. 3.13 СП 326.1311500.2017 [30]
Передвижной огнетушитель;— Огнетушитель с полной массой не менее 20 кг, но не более 400 кг, смонтированный на колесах или на тележке. п. 3.28 СП 9.13130.2009[11]
Перезаряжаемый МПП;— Модуль, работоспособность которого может быть восстановлена после применения. п. 3.4 ГОСТ Р 53286-2009 [43]
Перезаряжаемый огнетушитель;— Огнетушитель, после применения которого возможно восстановление его работоспособности. п. 3.27 СП 9.13130.2009[11]
Переносной огнетушитель;— Огнетушитель с полной массой не более 20 кг, конструктивное исполнение которого обеспечивает возможность его переноски и применения одним человеком. п. 3.29 СП 9.13130.2009[11]
Питающий трубопровод;— Трубопровод, соединяющий узел управления с распределительными трубопроводами. п. 3.63 СП 5.13130.2009[7]
Питающий трубопровод;— Трубопровод, соединяющий узел управления с распределительными трубопроводами. п. 3.1.8 ГОСТ Р 51052-2002 [36]
План пожаротушения объекта;— Документ, устанавливающий основные вопросы организации тушения развившегося пожара на объекте п. 17 ГОСТ 12.1.033-81 [87]
План эвакуации;— План (схема), в котором указаны пути эвакуации, эвакуационные и аварийные выходы, установлены правила поведения людей, порядок и последовательность действий в условиях чрезвычайной ситуации. п. 3.11 ГОСТ Р 12.2.143-2009 [88]
План эвакуации при пожаре;— Документ, в котором указаны эвакуационные пути и выходы, установлены правила поведения людей, а также порядок и последовательность действий обслуживающего персонала на объекте при возникновении пожара. п. 37 ГОСТ 12.1.033-81 [87]
Планировочная отметка земли;— Уровень на границе земли и отмостки здания. п. 3.28 СП 4.13130.2013[6]
Платформа;— Сооружение аналогичного с рампой назначения. В отличие от рампы проектируется двусторонней: одной стороной располагается вдоль железнодорожного пути, а противоположной - вдоль автоподъезда. п. 3.27 СП 4.13130.2013[6]
Пленкообразующая пена;— Пена, водный раствор которой способен самопроизвольно растекаться и покрывать поверхность нефти и нефтепродуктов тонкой водной пленкой. п. 3.23 ГОСТ Р 53280.2-2010 [54]
Пленкообразующий пенообразователь;— Пенообразователь, огнетушащая способность и устойчивость к повторному воспламенению которого определяются образованием на поверхности нефти и нефтепродуктов водной пленки. п. 3.4 ГОСТ Р 53290-2009 [47]
Пленкообразующий пенообразователь;— Пенообразователь, огнетушащая способность и устойчивость к повторному воспламенению которого определяется образованием на поверхности горючей жидкости изолирующей водной пленки. п. 3.22 ГОСТ Р 53280.2-2010 [54]
Площадка для автоцистерны;— Технологическая площадка, предназначенная для установки автоцистерны при сливоналивных операциях на АЗС. п. 3.27 СП 156.13130.2014[21]
Площадка заправки ПАГЗ (МЭГК);— Технологическая площадка, предназначенная для установки ПАГЗ (МЭГК) при заправке сосудов аккумулятора ПАГЗ (МЭГК) природным газом. п. 3.28 СП 156.13130.2014[21]
Площадка подпора;— Участок проезжей части, предназначенный для установки транспортных средств, ожидающих очереди для заправки. п. 3.29 СП 156.13130.2014[21]
Площадка посадочная (погрухочная);— Горизонтальная площадка здания (сооружения), на уровне которой останавливается кабина лифта для входа (выхода) людей и/или погрузки (разгрузки) грузов. п. 3.14 ГОСТ Р 55896-2013 [74]
Площадка сбора;— Безопасная площадка вне помещений, где планируется сбор людей. п. 3.12 ГОСТ Р 12.2.143-2009 [88]
Площадка слива-налива;— Часть территории объекта производства или потребления СПГ, предназначенная для размещения передвижных заправщиков СПГ при проведении сливо-наливных операций. п. 3.14 СП 326.1311500.2017 [30]
Площадка технологическая;— Одноярусное сооружение (без стен), размещенное в здании или вне его, опирающееся на самостоятельные опоры, конструкции здания или оборудования и предназначенное для установки, обслуживания или ремонта оборудования. п. 3.29 СП 4.13130.2013[6]
Побудительная система;— Трубопровод, заполненный водой, водным раствором, сжатым воздухом, или трос с тепловыми замками, предназначенные для автоматического и дистанционного включения водяных и пенных дренчерных установок пожаротушения, а также установок газового или порошкового пожаротушения. п. 3.64 СП 5.13130.2009[7]
Побудительная система;— Трубопровод, заполненный водой, водным раствором, сжатым воздухом, или трос с тепловыми замками, предназначенные для автоматического и дистанционного включения водяных и пенных дренчерных установок пожаротушения, а также установок газового или порошкового пожаротушения. п. 3.13 ГОСТ Р 50969-96 [33]
Поверхностная огнезащита;— Огнезащита поверхности изделия, материала, конструкции п. 23 ГОСТ 12.1.033-81 [87]
Поверхностная плотность теплового потока;— Лучистый тепловой поток, воздействующий на единицу поверхности образца. п. 3.5 ГОСТ 30402-96 [81]
Поверхностная плотность теплового потока;— Лучистый тепловой поток, воздействующий на единицу поверхности образца. п. 3 ГОСТ Р 51032-97 [82]
Поверхностная пропитка;— Обработка поверхности объектов огнезащиты пропиточными ОС (растворами антипиренов) с целью создания огнезащищенного поверхностного слоя. п. 3.6 ГОСТ Р 53292-2009 [75]
Подвесной потолок;— Горизонтальная конструкция, которая крепится с нижней стороны перекрытия или покрытия на расстоянии не менее 5 мм от него. п. 3.1 ГОСТ Р 53298-2009 [64]
Подводящий аэрозольный трубопровод;— Трубопровод, соединяющий устройство получения огнетушащего аэрозоля (генератор) с распределительными устройствами, трубопроводами и/или объемом защищаемого помещения. п. 3.11 ГОСТ Р 53284-2009 [42]
Подводящий трубопровод;— Трубопровод, соединяющий источник огнетушащего вещества с узлами управления. п. 3.65 СП 5.13130.2009[7]
Подводящий трубопровод;— Трубопровод, соединяющий источник огнетушащего вещества с узлами управления. п. 3.1.7 ГОСТ Р 51052-2002 [36]
Поддоны самотушения;— Устройства для предотвращения и подавления пожаров легковоспламеняющихся и горящих жидкостей, находящихся в открытых баках и резервуарах, а также для ликвидации падающих (сливающихся) потоков горящих жидкостей, образующихся в аварийных ситуациях. п. 2.30 СП 13.13130.2009[15]
Подземная автостоянка;— Автостоянка, имеющая все этажи при отметке пола помещений ниже планировочной отметки земли более чем на половину высоты помещений. п. 3.2 СП 154.13130.2013[19]
Подземный резервуар;— заглубленный в грунт или обсыпанный грунтом резервуар): Резервуар, в котором наивысший уровень жидкости ниже не менее чем на 0,2 м низшей планировочной отметки прилегающей площадки (в пределах 3 м от стенки резервуара. п. 2.9 ГОСТ Р 53324-2009 [72]
Подразделения пожарной охраны;"— Подразделения различных видов пожарной охраны, принимающие непосредственное участие в профилактике пожаров и (или) их тушении на предприятии, а также проведении аварийно-спасательных работ (далее - тушение пожаров); п. 3.1 СП 232.1311500.2015 [24]"
Подслойное тушение пожара в резервуаре;— Способ тушения пожара нефти и нефтепродуктов в резервуаре подачей низкократной пленкообразующей пены в основание резервуара (непосредственно в слой горючего). п. 3.7 СП 155.13130.2014[20]
Подслойное тушение пожара в резервуаре;— Способ тушения пожара нефти и нефтепродуктов в резервуаре подачей низкократной пленкообразующей пены в основание резервуара непосредственно в слой горючего. п. 3.20 ГОСТ Р 53280.2-2010 [54]
Подшлемник пожарного;— Подшлемник из трикотажного полотна с применением термостойких волокон, используемый в комплекте с СЗО и предназначенный для дополнительной защиты головы пожарного от тепловых и климатических воздействий. п. 3.7 ГОСТ Р 53264-2009 [85]
Подъезд для пожарной техники;— Участок территории или сооружения (моста, эстакады и др.), предназначенный для передвижения пожарной техники с соблюдением требований нормативных документов по пожарной безопасности. п. 3.34 СП 4.13130.2013[6]
Подъезд для пожарных автомобилей;— Участок территории или сооружения (моста, эстакады и др.), предназначенный для передвижения и установки пожарных автомобилей с возможностью приведения в рабочее состояние всех механизмов, устройств, выполнения действий по тушению пожара. п. 3.29 СП 4.13130.2013[6]
Пожар;— Неконтролируемое горение, развивающееся во времени и пространстве. ГОСТ 12.3.046-91 ССБТ [31]
Пожар в помещении;— Процесс диффузионного горения твердых, жидких и газообразных горючих веществ, находящихся в помещении, вызывающий прогрев строительных конструкций и технологического оборудования с возможной потерей ими несущей способности. п. 3.10 СП 12.13130.2009[14]
Пожарная безопасность объекта;— Состояние объекта, при котором с регламентируемой вероятностью исключается возможность возникновения и развития пожара и воздействия на людей опасных факторов пожара, а также обеспечивается защита материальных ценностей. п. 41 ГОСТ 12.1.033-81 [87]
Пожарная безопасность объекта защиты;— Состояние объекта защиты, характеризуемое возможностью предотвращения возникновения и развития пожара, а также воздействия на людей и имущество опасных факторов пожара. ст. 2 п. 20 ФЗ-123[1]
Пожарная безопасность объекта защиты;— Состояние объекта защиты, характеризуемое возможностью предотвращения возникновения и развития пожара, а также воздействия на людей и имущество опасных факторов пожара. п. 2.16 СП 13.13130.2009[15]
Пожарная зона;— Помещение (участок помещения), группа помещений, участок промышленной площадки АС, в пределах которых постоянно или периодически, в том числе при нарушении технологического процесса, находятся (обращаются) горючие вещества и материалы и которые отделены от других помещений (участков, помещений), групп помещений, участков промышленной площадки безопасными (предельными) расстояниями или противопожарными преградами. п. 2.14 СП 13.13130.2009[15]
Пожарная нагрузка;— Количество теплоты, которое может выделиться в помещение при пожаре. п. 3.12 СП 12.13130.2009[14]
Пожарная опасность;— Возможность возникновения и/или развития пожара п. 20 ГОСТ 12.1.033-81 [87]
Пожарная опасность веществ и материалов;— Состояние веществ и материалов, характеризуемое возможностью возникновения горения или взрыва веществ и материалов. ст. 2 п. 21 ФЗ-123[1]
Пожарная опасность объекта защиты;— Состояние объекта защиты, характеризуемое возможностью возникновения и развития пожара, а также воздействия на людей и имущество опасных факторов пожара. ст. 2 п. 22 ФЗ-123[1]
Пожарная опасность объекта защиты ;— Состояние объекта защиты, характеризуемое возможностью возникновения и развития пожара, а также воздействия на людей и имущество опасных факторов пожара. п. 2.13 СП 13.13130.2009[15]
Пожарная профилактика;— Комплекс организационных и технических мероприятий, направленных на обеспечение безопасности людей, на предотвращение пожара, ограничение его распространения, а также создание условий для успешного тушения пожара  п. 38 ГОСТ 12.1.033-81 [87]
Пожарная секция;— Часть пожарного отсека, выделенная противопожарными преградами в соответствии с требованиями нормативных документов по пожарной безопасности. п. 3.4 СП 2.13130.2012[4]
Пожарная секция;— Часть пожарного отсека, выделенная противопожарными преградами. ст. 2 п. 22.1 ФЗ-123[1]
Пожарная сигнализациия;— Совокупность технических средств, предназначенных для обнаружения пожара, обработки, передачи в заданном виде извещения о пожаре, специальной информации и (или) выдачи команд на включение автоматических установок пожаротушения и включение исполнительных установок систем противодымной защиты, технологического и инженерного оборудования, а также других устройств противопожарной защиты. ст. 2 п. 23 ФЗ-123[1]
Пожарная соединительная головка;— Быстросмыкаемая арматура для соединения пожарных рукавов и присоединения их к пожарному оборудованию и пожарным насосам. п. 3.11 СП 8.13130.2009[10]
Пожарное депо;— Специальное здание (сооружение), в котором размещаются личный состав и пожарная техника оперативного подразделения пожарной охраны. п. 2.4 СП 11.13130.2009[13]
Пожарное депо;— Объект пожарной охраны, в котором расположены помещения для хранения пожарной техники и ее технического обслуживания, служебные помещения для размещения личного состава, помещение для приема извещений о пожаре, технические и вспомогательные помещения, необходимые для выполнения задач, возложенных на пожарную охрану. ст. 2 п. 24 ФЗ-123[1]
Пожарное запорное устройство;— Устройство, предназначенное для подачи, регулирования и перекрытия потока огнетушащего вещества. п. 3.66 СП 5.13130.2009[7]
Пожарное запорное устройство;— Устройство, предназначенное для подачи, регулирования и перекрытия потока огнетушащего вещества. п. 3.1.9 ГОСТ Р 51052-2002 [36]
Пожарно-профилактическая работа;"— Функция подразделения пожарной охраны, состоящая в деятельности личного состава, направленной на предупреждение пожаров и создание условий для их успешного тушения; п. 3.4 СП 232.1311500.2015 [24]"
Пожарный извещатель (ПИ);— Устройство, предназначенное для обнаружения факторов пожара и формирования сигнала о пожаре или о текущем значении его факторов. п. 3.67 СП 5.13130.2009[7]
Пожарный извещатель пламени;— Прибор, реагирующий на электромагнитное излучение пламени или тлеющего очага. п. 3.68 СП 5.13130.2009[7]
Пожарный кран;— Комплект, состоящий из клапана, установленного на внутреннем противопожарном водопроводе и оборудованного пожарной соединительной головкой, а также пожарного рукава с ручным пожарным стволом по ГОСТ Р 51844. п. 3.7 СП 10.13130.2009[12]
Пожарный оповещатели;— Техническое средство, предназначенное для оповещения людей о пожаре. ст. 2 п. 26 ФЗ-123[1]
Пожарный отсек;— Часть здания и сооружения, выделенная противопожарными стенами и противопожарными перекрытиями или покрытиями, с пределами огнестойкости конструкции, обеспечивающими нераспространение пожара за границы пожарного отсека в течение всей продолжительности пожара. ст. 2 п. 27 ФЗ-123[1]
Пожарный отсек;— Часть здания, сооружения, выделенная противопожарными стенами и противопожарными перекрытиями или покрытиями, с пределами огнестойкости конструкции, обеспечивающими нераспространение пожара за границы пожарного отсека в течение всей продолжительности пожара. п. 2.15 СП 13.13130.2009[15]
Пожарный пост;— Специальное помещение объекта с круглосуточным пребыванием дежурного персонала, оборудованное приборами контроля состояния и управления средствами пожарной автоматики. п. 3.69 СП 5.13130.2009[7]
Пожарный риск;— Мера возможности реализации пожарной опасности объекта защиты и ее последствий для людей и материальных ценностей. ст. 2 п. 28 ФЗ-123[1]
Пожарный сигнализатор;— Устройство для формирования сигнала о срабатывании установок пожаротушения и (или) запорных устройств. п. 3.70 СП 5.13130.2009[7]
Пожарный шкаф;— Вид пожарного инвентаря, предназначенного для размещения и обеспечения сохранности технических средств, применяемых во время пожара по ГОСТ Р 51844. п. 3.8 СП 10.13130.2009[12]
Пожаровзрывоопасность вещества и материалов;— Совокупность свойств, характеризующих их способность к возникновению и распространению горения. п. 3.30 ГОСТ 12.1.044-2018 [79]
Пожаровзывоопасность веществ и материалов;— Способность веществ и материалов к образованию горючей (пожароопасной или взрывоопасной) среды, характеризуемая их физико-химическими свойствами и (или) поведением в условиях пожара. ст. 2 п. 29 ФЗ-123[1]
Пожароопасная зона;—  Часть замкнутого или открытого пространства, в пределах которого постоянно или периодически обращаются горючие вещества и в котором они могут находиться при нормальном режиме технологического процесса или его нарушении (аварии). ст. 2 п. 30 ФЗ-123[1]
Пожаро-оперативное обслуживание;— Функция пожарных подразделений, состоящая в спасании людей и ликвидации пожаров и загораний, а также в поддержании пожарной техники в постоянной готовности п. 18 ГОСТ 12.1.033-81 [87]
Позиционное управление;— Управление РП, при котором движение его рабочего органа (насадка, пеногенератора) происходит по заданным точкам позиционирования без контроля траектории движения между ними. п. 3.17 ГОСТ Р 53326-2009 [48]
Показатели опасности токсического воздействия огнетушащего аэрозоля;— Показатели, характеризующие опасность воздействия вредных веществ, содержащихся в составе огнетушащего аэрозоля. п. 3.16 ГОСТ Р 53284-2009 [42]
Показатель пожарной опасности;— Величина, количественно характеризующая какое-либо свойство пожарной опасности п. 21 ГОСТ 12.1.033-81 [87]
Показатель токсичности продуктов горения материала;— Отношение количества материала к единице объема замкнутого пространства, в котором образующиеся при горении материала продукты горения вызывают определенный токсический эффект: гибель 50% подопытных животных. п. 3.31 ГОСТ 12.1.044-2018 [79]
Поквартирное теплоснабжение;— Обеспечение теплом систем отопления, вентиляции и горячего водоснабжения квартиры в жилом многоквартирном здании. Система состоит из индивидуального источника теплоты - теплогенератора, трубопроводов горячего водоснабжения с водоразборной арматурой, трубопроводов отопления с отопительными приборами и теплообменников систем вентиляции. п. 3.23 СП 60.13330.2012[16]
Покровный слой;— Элемент конструкции, устанавливаемый по наружной поверхности тепловой изоляции для защиты от механических повреждений и воздействий окружающей среды. п. 3.3 ГОСТ Р 53327-2009 [73]
Полоса безопасность;— Краевая полоса проезжей части, ограничивающая приближение транспортных средств к служебному проходу, расположенных у стены тоннеля. п. 3.8 СП 166.1311500.2014[22]
Полоса движения;— Часть проезжей части тоннеля, имеющая ширину, достаточную для движения транспортных средств в один ряд. п. 3.9 СП 166.1311500.2014[22]
Полуавтоматическое управление;— Приведение в действие системы оповещения и управления эвакуацией людей диспетчером (оператором) при получении командного сигнала от автоматических установок пожарной сигнализации или пожаротушения. п. 2.4 СП 3.13130.2009[5]
